"Id";"Référence";"Boîtier";"Quantité";"Désignation";"Fournisseur et réf";
1;"U2,U9,U8,U10,U3";"DC_DC_LM2596_small";5;"DSN2596";;;
2;"Q1";"TO-252-3_TabPin2";1;"IRF7606PBF_3PINS_BWOUF";;;
3;"R4,R9,R8,R1,R2,R3,R5,R6";"R_1206_3216Metric_Pad1.42x1.75mm_HandSolder";8;"R";;;
4;"J2";"PinHeader_1x04_P2.54mm_Vertical";1;"Conn_01x04";;;
5;"BZ2,BZ1";"Buzzer_12x9.5RM7.6";2;"Buzzer";;;
6;"U5";"PhoenixContact_MCV_1,5_2-G-3.81_1x02_P3.81mm_Vertical";1;"B_Plug_E-Stop_out";;;
7;"U4";"PhoenixContact_MCV_1,5_2-G-3.81_1x02_P3.81mm_Vertical";1;"B_Plug_E-Stop_In";;;
8;"K1";"DSP1AL2DC5V";1;"DSP1A-L2-DC5V";;;
9;"U13";"PhoenixContact_MCV_1,5_2-G-3.81_1x02_P3.81mm_Vertical";1;"B_Plug_5v_Actuator";;;
10;"U12";"PhoenixContact_MCV_1,5_2-G-3.81_1x02_P3.81mm_Vertical";1;"B_Plug_18v_Motor2";;;
11;"U11";"PhoenixContact_MCV_1,5_2-G-3.81_1x02_P3.81mm_Vertical";1;"B_Plug_18v_Motor1";;;
12;"U7";"PhoenixContact_MCV_1,5_2-G-3.81_1x02_P3.81mm_Vertical";1;"B_Plug_7v5_Command";;;
13;"U6";"PhoenixContact_MCV_1,5_2-G-3.81_1x02_P3.81mm_Vertical";1;"B_Plug_5V_Command";;;
14;"U1";"PhoenixContact_MCV_1,5_2-G-3.81_1x02_P3.81mm_Vertical";1;"B_Plug_Battery_In";;;
15;"C1";"C_1206_3216Metric_Pad1.42x1.75mm_HandSolder";1;"C";;;
16;"C2";"C_1206_3216Metric_Pad1.42x1.75mm_HandSolder";1;"CP";;;
17;"D1,D3,D4,D5,D6,D7";"LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder";6;"LED";;;
18;"D8";"LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder";1;"10V";;;
19;"F1,F2,F3,F4,F5,F6";"Fuse_1210_3225Metric_Pad1.42x2.65mm_HandSolder";6;"Fuse";;;
20;"J1";"PinSocket_1x09_P2.54mm_Horizontal";1;"Conn_01x09";;;
21;"R7";"R_1206_3216Metric_Pad1.42x1.75mm_HandSolder";1;"10k";;;
22;"SW1";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"SW_Push";;;
